Pd%,Sn%,Mo%,W%,Desired_Product,undesired_Product,Carbon_in_Solid,FOM#3
0,0,0,25,0.0344838,0.0512722025,0.711904762,0.215
0.5,0.1,5,25,0.0532163166667,0.0167870666667,0.008216693,1212.67333333
0.1,0.1,5,3,0.096359029,0.0225168443333,0.016446888,256.71
0.5,0.25,1,20,0.0810622943333,0.0142040213333,0.122307455,38.41
1,0.25,2,15.5,0.086218651,0.01929629,0.005379114,1539.77
0.5,0.5,1,15.5,0.037459175,0.037139807,0.471535479,0.78
1,0.25,1,25,0.079351066,0.016047064,0.006170278,1718.63
0.1,0.5,1,15.5,0.034881529,0.054431228,0.575636374,0.4
1,0.5,2,15.5,0.100530484,0.0145334856667,0.012080893,597.223333333
1,0,2,25,0.039661707,0.0231208446667,0.005805,1200.59
0.1,0.1,5,25,0.040661001,0.0159476085,0.441385857,2.795
0.1,0.1,5,20,0.0766826646667,0.011704598,0.040424015,152.626666667
0.5,0.1,2,15.5,0.084989245,0.0165925133333,0.00321293,3283.91333333
1,0.25,0,0,0.08560009,0.032651421,0.019366566,105.86
0,0.25,2,12.5,0.0406619285,0.0743996115,0.605952381,0.195
0.1,0.25,5,15.5,0.039302506,0.0345401405,0.370561424,1.945
0.1,0.25,5,20,0.0400382946667,0.025292244,0.585413352,1.10333333333
0.1,0.25,5,25,0.0406658013333,0.0212293166667,0.594551744,1.59666666667
1,0,2,0,0.098480739,0.069690136,0.011505319,258.92
0.5,0.5,2,3,0.0825545685,0.023063354,0.049804217,65.935
1,0.25,5,25,0.100095531,0.0205085813333,0.006489132,1518.45
1,0.25,5,20,0.0869645402,0.0233930228,0.0064967592,1439.594
0.5,0.5,5,3,0.1984745015,0.0588882875,0.011759957,365.55
0,0.25,0,25,0.0352672013333,0.0499316446667,0.742857143,0.206666666667
0.1,0.25,2,15.5,0.0364261796667,0.037188048,0.334078932,1.54
1,0.25,0,12.5,0.076725893,0.0204605105,0.00672,817.785
1,0.1,2,25,0.0726658333333,0.0205838933333,0.003651877,2714.33666667
1,0.1,5,3,0.09856066325,0.076254811,0.0084731155,370.925
2,0.5,2,12.5,0.1035401845,0.019198411,0.00557484,2082.115
0.5,0.5,5,15.5,0.0507555573333,0.0187731953333,0.152055511,8.75
0,0,0,12.5,0.038937957,0.0608815326667,0.683333333,0.223333333333
0.5,0.1,2,3,0.0838319296667,0.021077751,0.0117194,724.4
1,0.5,1,15.5,0.0874978635,0.0088093175,0.004621984,1863.96
0.1,0.1,2,20,0.073443953,0.014544181,0.115594788,35.5
0.1,0.1,2,25,0.0493022256667,0.0127992476667,0.134076887,19.15
1,0.1,1,15.5,0.0914426674,0.0181423338,0.0046072284,2555.658
0,0.25,0,12.5,0.0408481416667,0.0606452453333,0.686904762,0.24
1,0.1,5,20,0.065685716,0.035048437,0.00682156866667,1243.43166667
0.1,0.5,2,3,0.0373814735,0.0460923185,0.45737191,1.0
1,0.1,5,25,0.0877590136667,0.0177167356667,0.005727598,2122.71
0,0,2,25,0.0412218643333,0.100875136,0.7,0.3
0.1,0.1,5,15.5,0.073527023,0.024464377,0.03766249,63.94
0.5,0.1,2,25,0.0738113586667,0.0203151996667,0.014314308,519.45
0.5,0.1,2,20,0.0967316035,0.020508714,0.011014796,281.045
